Summary,Issue Type,Description,Priority,Labels,Story Points,Epic Name,Sprint,External ID,Component,Fix Version
EP-1 Platform & Auth,Epic,"Repo, CI, auth, RBAC, fleet dashboard. Exit: user sees empty fleet dashboard.",High,mvp epic,18,,,EP-1,Platform,MVP v1.0
FP-1 Monorepo setup,Task,"Next.js + FastAPI + Docker Compose. AC: docker compose up works.",High,"mvp p0 infra",3,EP-1 Platform & Auth,Sprint 1 — Foundation,FP-1,Platform,MVP v1.0
FP-2 PostgreSQL schema v1,Task,"Organization, User, Vehicle, Integration + migrations.",High,"mvp p0 backend",5,EP-1 Platform & Auth,Sprint 1 — Foundation,FP-2,Platform,MVP v1.0
FP-3 Auth signup/login,Story,"JWT auth, org invite flow.",High,"mvp p0 backend frontend",5,EP-1 Platform & Auth,Sprint 1 — Foundation,FP-3,Platform,MVP v1.0
FP-4 RBAC roles,Story,"Admin, Dispatcher, FleetManager, Driver, Viewer.",High,"mvp p0 backend",3,EP-1 Platform & Auth,Sprint 1 — Foundation,FP-4,Platform,MVP v1.0
FP-5 App shell ROI dashboard,Story,"Sidebar nav, KPI cards from wireframes.",High,"mvp p0 frontend design",3,EP-1 Platform & Auth,Sprint 1 — Foundation,FP-5,Platform,MVP v1.0
FP-6 CI GitHub Actions,Task,"Lint, test, Docker build on PR.",High,"mvp p0 infra",2,EP-1 Platform & Auth,Sprint 1 — Foundation,FP-6,Platform,MVP v1.0
FP-7 Dev README seed script,Task,"Local setup + demo fleet 32 vehicles.",Medium,"mvp p1 infra",1,EP-1 Platform & Auth,Sprint 1 — Foundation,FP-7,Platform,MVP v1.0
FP-8 Sentry env config,Task,"Error tracking + .env.example.",Medium,"mvp p1 infra",2,EP-1 Platform & Auth,Sprint 1 — Foundation,FP-8,Platform,MVP v1.0
EP-2 Integration Hub,Epic,"Omnicomm, StavTrack adapters, vehicle mapping. Exit: 28+ vehicles synced.",High,mvp epic,32,,,EP-2,Integrations,MVP v1.0
FP-10 Integration model,Task,"Provider, encrypted credentials, health.",High,"mvp p0 backend",3,EP-2 Integration Hub,Sprint 2 — Integrations,FP-10,Integrations,MVP v1.0
FP-11 Omnicomm adapter,Story,"REST API GPS + fuel polling.",High,"mvp p0 integrations backend",8,EP-2 Integration Hub,Sprint 2 — Integrations,FP-11,Integrations,MVP v1.0
FP-12 StavTrack adapter,Story,"REST API GPS sync.",High,"mvp p0 integrations backend",5,EP-2 Integration Hub,Sprint 2 — Integrations,FP-12,Integrations,MVP v1.0
FP-13 Unified Vehicle Model,Story,"external_ids mapping UI.",High,"mvp p0 backend frontend",5,EP-2 Integration Hub,Sprint 2 — Integrations,FP-13,Integrations,MVP v1.0
FP-14 Celery sync workers,Task,"30 sec polling interval.",High,"mvp p0 infra backend",3,EP-2 Integration Hub,Sprint 2 — Integrations,FP-14,Integrations,MVP v1.0
FP-15 Integration Hub UI,Story,"Connect, status, force sync.",High,"mvp p0 frontend design",5,EP-2 Integration Hub,Sprint 2 — Integrations,FP-15,Integrations,MVP v1.0
FP-16 Credentials vault,Task,"AES-256 encrypted at rest.",High,"mvp p0 backend infra",3,EP-2 Integration Hub,Sprint 2 — Integrations,FP-16,Integrations,MVP v1.0
FP-17 Integration health API,Story,"Alert on sync failure.",Medium,"mvp p1 backend",3,EP-2 Integration Hub,Sprint 2 — Integrations,FP-17,Integrations,MVP v1.0
FP-18 MSS GLONASS adapter stub,Story,"Stub + integration docs.",Medium,"mvp p1 integrations",3,EP-2 Integration Hub,Sprint 2 — Integrations,FP-18,Integrations,MVP v1.0
EP-3 Fleet Map & Telemetry,Epic,"Real-time map, deviation alerts. Exit: live map + test alert.",High,mvp epic,24,,,EP-3,Fleet Map,MVP v1.0
FP-20 TimescaleDB telemetry,Task,"Hypertable vehicle_telemetry.",High,"mvp p0 backend infra",3,EP-3 Fleet Map & Telemetry,Sprint 3 — Fleet Map,FP-20,Fleet Map,MVP v1.0
FP-21 Fleet map SSE API,Story,"Real-time positions stream.",High,"mvp p0 backend",5,EP-3 Fleet Map & Telemetry,Sprint 3 — Fleet Map,FP-21,Fleet Map,MVP v1.0
FP-22 MapLibre map UI,Story,"Markers, clusters, popups.",High,"mvp p0 frontend design",8,EP-3 Fleet Map & Telemetry,Sprint 3 — Fleet Map,FP-22,Fleet Map,MVP v1.0
FP-23 Vehicle list filters,Story,"Status, source, driver filters.",High,"mvp p0 frontend",3,EP-3 Fleet Map & Telemetry,Sprint 3 — Fleet Map,FP-23,Fleet Map,MVP v1.0
FP-24 Route deviation detection,Story,"Geo-fence vs planned route.",High,"mvp p0 backend ai",5,EP-3 Fleet Map & Telemetry,Sprint 3 — Fleet Map,FP-24,Fleet Map,MVP v1.0
